Hashtags,Hashtag_count,Mentions,Mention_count,TermsOnly,Term_count,Language,Language_count,ScreenName,screenname_count,Places,places_count
#Ranbir,48,@Tata_Safari,44,7,322,,,AkshaySolapurFC,23,West Central Africa,2
#first2expo,47,@my_zone_,44,First,322,,,ShahidKaaFan,23,Georgetown,2
#KnowYourScania,47,@louissaha08,43,exterior,322,,,jockerim,23,Asia/Tokyo,1
#CNBexpo,46,@burnyourfuel,43,many,321,,,priyasharma4211,23,Guadalajara,1
#GaadiFix,46,@gaadifix,43,core,320,,,Vimalsumbly,23,Cairo,1
#TriumphAtAutoExpo,45,@merinews,42,So,319,,,gaadiwaadi,23,America/Chicago,1
#PuntoPure,45,@pd_official,42,cricket,317,,,kp_85,23,Budapest,1
#RanbirKapoor,45,@Zigwheels,42,time,313,,,sangeetaagrawa2,23,Vienna,1
#Vintage,44,@SrBachchan,42,What's,312,,,decdaffodil,22,Helsinki,1
#Duster,44,@TheQuint,41,Pavilion,307,,,Rideraven,22,Perth,1
#cars,44,@aliaa08,41,show,296,,,KhiladiRules,22,Tashkent,1
#GoodYearAtEXPO16,43,@Ertigabymaruti,41,??,292,,,SriDhillon,22,Prague,1
#Denso,43,@rajcheerfull,40,Concept,288,,,shrey_RCBian,22,Asia/Karachi,1
#Toyota,43,@Iamksgofficial,39,check,287,,,Anupama75,22,UTC,1
#autoexpo,43,@carblogindia,39,makes,287,,,ghunjain,22,Yakutsk,1
#Tiguan,43,@BosePratap,38,public,287,,,iShilpa_,22,Zagreb,1
#Fact,43,@omarazamii,38,Noida,287,,,Priyarathod2468,22,Asia/Qatar,1
#DelhiAutoExpo2016,43,@PiaggioOfficial,37,Visitors,286,,,NaveenThisizz,22,Melbourne,1
#filmwithmark,42,@JantaKaReporter,35,Tata,284,,,Shwetarai123,22,Australia/Sydney,1
#Spotted,42,@LungFakeer,34,More,283,,,getitupforme,22,Asia/Riyadh,1
#GoPro,41,@KatrinaKaifFB,34,hall,281,,,Sensible_Mona,22,Caracas,1
#corvette,41,@ManUtd,34,Stall,280,,,mohdmohsin7503,22,Guam,1
#RiderzPlanet,41,@Honda,32,Mahindra,278,,,my_zone_,22,,
#JaguarAtAutoExpo,40,@JKTyreCorporate,30,Audi,276,,,altaf_zuni,21,,
#ZippedNews,39,@Live_Hindustan,30,Out,270,,,nazim24411,21,,
#FordAE2016,38,@forbes_india,29,excitement,268,,,bulletcompany,21,,
#GaadiLive,38,@RanbirKapoorFC,29,Cricket,265,,,tweetingrider,21,,
#Selfie,37,@ChefKunalKapur,29,launched,262,,,theautomotive,21,,
#InnovaCrysta,37,@NBTDilli,28,ICC,261,,,relishingrascal,21,,
#Bollywood,36,@BMW,28,click,254,,,01_adarsh,21,,
